,units,layers,learning_rate,activation_function,lambda_reg,mean_val_loss,std_val_loss
0,1,2,0.1,relu,0.0001,6.3386698246002195,1.732494162903589
1,1,1,0.1,elu,0.005,3.102708339691162,0.09805633643793282
2,1,5,0.1,elu,0.005,4.73630108833313,1.996463851138018
3,4,1,0.1,relu,0.0001,1.5022706508636474,0.15424839627693626
4,1,2,0.1,relu,0.001,5.588417482376099,2.0377254582100286
5,1,4,0.01,relu,0.005,5.465692043304443,1.9772113331951402
6,1,3,0.01,leakyrelu,0.0,3.0177446842193603,0.08016662118015715
7,1,1,0.1,elu,0.01,3.119545316696167,0.05716287942837362
8,4,3,0.01,relu,0.005,1.7759585857391358,0.5660477370238618
9,4,2,0.01,leakyrelu,0.0,1.3879635810852051,0.06138341428348159
10,1,2,0.1,relu,0.005,3.9439969062805176,1.6081158729725116
11,1,1,0.1,leakyrelu,0.0,3.0780751705169678,0.06401220709942142
12,4,1,0.1,relu,0.001,1.5280952453613281,0.13792864437388536
13,1,5,0.1,elu,0.01,5.631670331954956,1.8382779880863025
14,1,2,0.1,relu,0.01,5.620877408981324,1.9763645536277734
15,4,2,0.01,leakyrelu,1e-05,1.4277911901473999,0.09049975137668258
16,1,1,0.1,leakyrelu,1e-05,3.0543851375579836,0.06517077983049595
17,1,3,0.01,leakyrelu,1e-05,3.0137919902801515,0.06903721072330903
18,1,2,0.1,elu,0.0,3.1688089847564695,0.1333639143740508
19,4,1,0.1,relu,0.005,1.6149663925170898,0.12070582895939914
20,1,1,0.1,leakyrelu,0.0001,3.0524267196655273,0.1084222596515136
21,1,5,0.1,leakyrelu,0.0,3.013389158248901,0.0491127794111124
22,4,3,0.01,relu,0.01,1.5042362213134766,0.05571770596166625
23,1,2,0.1,elu,1e-05,3.103978729248047,0.07586882354248473
24,1,1,0.1,leakyrelu,0.001,3.0523921489715575,0.08802818368409163
25,1,5,0.1,leakyrelu,1e-05,3.0590083599090576,0.08771251579988071
26,1,4,0.01,relu,0.01,6.407252168655395,1.630999067018504
27,4,2,0.01,leakyrelu,0.0001,1.3805294036865234,0.1041727587871799
28,1,3,0.01,leakyrelu,0.0001,3.021695137023926,0.05430898922974314
29,4,1,0.1,relu,0.01,1.7354947090148927,0.18329475984060575
30,1,1,0.001,leakyrelu,0.0001,3.0022074699401857,0.067850039180771
31,1,2,0.1,elu,0.0001,3.137634611129761,0.10956767097286083
32,1,1,0.1,leakyrelu,0.005,3.086876392364502,0.1001951132795552
33,1,5,0.1,leakyrelu,0.0001,3.056006336212158,0.09224858387501873
34,4,3,0.01,elu,0.0,1.2815962791442872,0.10544252976000543
35,4,1,0.1,elu,0.0,1.5417244195938111,0.1410914657542894
36,1,3,0.01,leakyrelu,0.001,3.026535177230835,0.07588030529081972
37,1,1,0.1,leakyrelu,0.01,3.175718975067139,0.0806422286050856
38,1,2,0.1,elu,0.001,3.140128183364868,0.14470216081038778
39,1,4,0.01,elu,0.0,3.8387131690979004,1.657366278671912
40,1,5,0.1,leakyrelu,0.001,3.0824565410614015,0.10371554622722148
41,4,2,0.01,leakyrelu,0.001,1.4207175016403197,0.07890823171393073
42,4,1,0.1,elu,1e-05,1.465598964691162,0.09501607714387257
43,1,2,0.1,elu,0.005,3.9829699993133545,1.6202024447202372
44,4,3,0.01,elu,1e-05,1.30439133644104,0.0708269373705624
45,4,4,0.001,leakyrelu,0.0001,1.3274230003356933,0.054417500242499986
46,1,5,0.001,leakyrelu,0.0001,3.00635404586792,0.06886949273495142
47,1,3,0.01,leakyrelu,0.005,3.0860604286193847,0.09111486368956709
48,4,1,0.1,elu,0.0001,1.448752474784851,0.11744984224011973
49,1,5,0.1,leakyrelu,0.005,3.186289882659912,0.0906462836607062
50,1,2,0.001,elu,0.0,2.9851119041442873,0.07866255764003179
51,1,4,0.01,elu,1e-05,3.0223232746124267,0.11014989663935548
52,1,2,0.1,elu,0.01,3.1601160049438475,0.13173800206858924
53,4,2,0.01,leakyrelu,0.005,1.5274482250213623,0.06421512685996995
54,1,5,0.1,leakyrelu,0.01,3.286844825744629,0.15500265065093202
55,4,3,0.01,elu,0.0001,1.2866373538970948,0.042099790779700115
56,1,2,0.1,leakyrelu,0.0,3.0676671504974364,0.09198022920219061
57,4,1,0.1,elu,0.001,1.5133646965026855,0.16393436216671012
58,4,1,0.001,elu,0.0,1.3853474378585815,0.09353672890873198
59,1,2,0.1,leakyrelu,1e-05,3.080245923995972,0.08677501408629121
60,1,4,0.01,elu,0.0001,3.854405975341797,1.6337032183245528
61,1,3,0.01,leakyrelu,0.01,3.1472989082336427,0.09485692612456051
62,1,3,0.1,relu,0.0,7.201602554321289,0.18419371791443287
63,4,1,0.1,elu,0.005,1.6463423728942872,0.1937810467987317
64,1,2,0.1,leakyrelu,0.0001,3.1285160541534425,0.14588083704947502
65,4,2,0.01,leakyrelu,0.01,1.6746229648590087,0.13680848497264406
66,1,3,0.1,relu,1e-05,4.707018804550171,2.001029398895844
67,4,3,0.01,elu,0.001,1.3574215412139892,0.07838549071526177
68,4,1,0.1,elu,0.01,1.7655936479568481,0.15513096196326823
69,1,2,0.1,leakyrelu,0.001,3.119534063339233,0.12413717595351949
70,4,2,0.1,relu,0.0,1.9617090225219727,0.5303527776150213
71,1,2,0.1,leakyrelu,0.005,3.134351062774658,0.1061682006166569
72,1,3,0.1,relu,0.0001,5.509156274795532,2.0161770238875927
73,4,4,0.001,leakyrelu,0.001,1.4296313047409057,0.14317464368957833
74,4,1,0.1,leakyrelu,0.0,1.4814095735549926,0.09452370817284271
75,4,2,0.1,relu,1e-05,1.819264817237854,0.6647093507835434
76,1,3,0.1,relu,0.001,3.1058332443237306,0.12359484197156229
77,1,1,0.001,leakyrelu,0.001,3.0244797706604003,0.06703040144290996
78,1,2,0.1,leakyrelu,0.01,3.2073984146118164,0.13402794379514282
79,4,1,0.1,leakyrelu,1e-05,1.4998282432556151,0.06522971820910607
80,1,3,0.1,relu,0.005,4.6884925842285154,1.9426260355172145
81,4,2,0.1,relu,0.0001,1.4060624837875366,0.087766150934496
82,4,3,0.01,elu,0.005,1.4195602655410766,0.10684410260178136
83,1,4,0.01,elu,0.001,3.142968702316284,0.12855328492764526
84,1,3,0.1,relu,0.01,5.637203598022461,1.986545981891161
85,4,1,0.1,leakyrelu,0.0001,1.5777095079421997,0.07096480128464211
86,1,5,0.001,leakyrelu,0.001,3.0294447898864747,0.10110361625673166
87,4,2,0.1,relu,0.001,1.5405437707901002,0.07927220667581121
88,1,3,0.1,elu,0.0,3.0544692516326903,0.08850015650253142
89,4,2,0.1,relu,0.005,1.561905312538147,0.10791182939379117
90,4,1,0.1,leakyrelu,0.001,1.616100287437439,0.09117278175088708
91,4,3,0.01,elu,0.01,1.5451163053512573,0.09971586942910189
92,4,2,0.1,relu,0.01,1.7057187795639037,0.19810417895322155
93,4,1,0.1,leakyrelu,0.005,1.7946284532546997,0.21573704259369503
94,1,3,0.1,elu,1e-05,3.179083013534546,0.048876009251625094
95,1,2,0.001,elu,1e-05,2.993548345565796,0.07287794514800405
96,1,4,0.01,elu,0.005,4.663040542602539,2.0139306649900575
97,4,2,0.1,elu,0.0,1.4876497507095336,0.20933416736409177
98,1,3,0.1,elu,0.0001,3.064894676208496,0.08642513523344546
99,4,3,0.01,leakyrelu,0.0,1.3481958866119386,0.07387597474714469
100,4,1,0.1,leakyrelu,0.01,1.7435158252716065,0.1487133060712823
101,4,2,0.1,elu,1e-05,1.4085629463195801,0.08384996587746629
102,1,3,0.1,elu,0.001,3.171056604385376,0.20544405995608894
103,4,2,0.1,elu,0.0001,1.4986115455627442,0.10685196295212479
104,4,4,0.001,leakyrelu,0.005,1.4830557346343993,0.06718314551683585
105,4,3,0.01,leakyrelu,1e-05,1.3480307579040527,0.07143557756356025
106,4,1,0.001,elu,1e-05,1.4279814958572388,0.1565580917165067
107,1,4,0.01,elu,0.01,3.9234155654907226,1.5344548605474682
108,1,3,0.1,elu,0.005,4.000768327713013,1.4905315249669453
109,4,2,0.1,elu,0.001,1.5177310466766358,0.13580035279206695
110,1,3,0.1,elu,0.01,4.067338371276856,1.7440586695427303
111,4,3,0.01,leakyrelu,0.0001,1.3741941690444945,0.0830563791851704
112,4,2,0.1,elu,0.005,1.532550072669983,0.07235765804735061
113,1,4,0.01,leakyrelu,0.0,2.9997979164123536,0.07839134773027562
114,1,3,0.1,leakyrelu,0.0,3.0895177841186525,0.10935584010711272
115,4,2,0.1,elu,0.01,1.6445223331451415,0.1177060609392539
116,1,1,0.001,leakyrelu,0.005,3.0641806602478026,0.08259869502244212
117,4,4,0.0001,relu,0.0,1.3846258163452148,0.18703635234043764
118,1,3,0.1,leakyrelu,1e-05,3.054810810089111,0.10055460677074549
119,4,2,0.1,leakyrelu,0.0,1.644121241569519,0.1502034829901881
120,1,4,0.01,leakyrelu,1e-05,3.0165593147277834,0.066914234694483
121,1,3,0.1,leakyrelu,0.0001,3.08086895942688,0.05986763828911943
122,4,3,0.01,leakyrelu,0.001,1.3942131757736207,0.09130498870683244
123,4,2,0.1,leakyrelu,1e-05,1.435379695892334,0.07190101226323913
124,1,5,0.001,leakyrelu,0.005,3.1332324028015135,0.0915058879736211
125,1,4,0.01,leakyrelu,0.0001,3.021303653717041,0.0796533410378723
126,1,3,0.1,leakyrelu,0.001,3.14879732131958,0.09052083240685503
127,4,2,0.1,leakyrelu,0.0001,1.495865535736084,0.17020936259289898
128,1,3,0.1,leakyrelu,0.005,3.1458364963531493,0.13568116850607936
129,1,2,0.001,elu,0.0001,3.0028685569763183,0.06540003046950199
130,1,4,0.01,leakyrelu,0.001,3.023126411437988,0.051259067513800084
131,4,3,0.01,leakyrelu,0.005,1.4645054578781127,0.11770184160686095
132,4,2,0.1,leakyrelu,0.001,1.6105843782424927,0.15873592338050985
133,1,3,0.1,leakyrelu,0.01,3.2780097484588624,0.11808937140318503
134,4,2,0.1,leakyrelu,0.005,1.7047907829284668,0.0700105087033288
135,4,4,0.001,leakyrelu,0.01,1.5797117233276368,0.1266135508048001
136,4,1,0.001,elu,0.0001,1.4508676767349242,0.12543153577330557
137,1,4,0.01,leakyrelu,0.005,3.093472146987915,0.09128300279457646
138,4,3,0.01,leakyrelu,0.01,1.6212687253952027,0.1594016800623737
139,4,4,0.01,relu,0.0,1.9236926555633544,0.7066039605563589
140,4,2,0.1,leakyrelu,0.01,1.7098983526229858,0.06698085427299337
141,4,3,0.1,relu,0.0,2.749592661857605,0.5077311526554603
142,1,4,0.01,leakyrelu,0.01,3.1641761302947997,0.12654628144408542
143,4,3,0.1,relu,1e-05,2.6216922283172606,2.1849540891826345
144,4,4,0.01,relu,1e-05,2.281391167640686,0.6701232354337336
145,1,4,0.1,relu,0.0,7.204195022583008,0.18606249696557717
146,4,3,0.1,relu,0.0001,1.9181277275085449,0.4930710916567122
147,1,4,0.1,relu,1e-05,6.3383690357208256,1.7256799537692162
148,4,3,0.1,relu,0.001,2.9687026500701905,2.067041489382738
149,1,4,0.1,relu,0.0001,5.51690559387207,1.9731543683569925
150,4,3,0.1,relu,0.005,2.9355239629745484,2.312669810457251
151,4,4,0.01,relu,0.0001,1.3685587406158448,0.15251736452229647
152,1,1,0.001,leakyrelu,0.01,3.135254144668579,0.08180037368283496
153,1,4,0.1,relu,0.001,4.81138801574707,2.0129502760962383
154,4,3,0.1,relu,0.01,2.537468409538269,0.5584200188709387
155,1,4,0.1,relu,0.005,5.595084190368652,2.052642579624129
156,1,1,0.01,relu,0.0,4.623263931274414,1.9804256806022873
157,4,4,0.01,relu,0.001,1.98777174949646,0.7132302691072483
158,4,3,0.1,elu,0.0,1.6109119415283204,0.1242102344496159
