g_p,g_r,d,rho,mean_train,std_train,mean_test,std_test,time
0.001,0.001,1,0.0,1.66,0.03,1.68,0.10,1.14
0.001,0.001,1,0.2,1.68,0.03,1.70,0.10,1.33
0.001,0.001,1,0.4,1.71,0.03,1.73,0.10,1.09
0.001,0.001,1,0.6,1.75,0.03,1.77,0.10,1.11
0.001,0.001,1,0.8,1.82,0.03,1.84,0.10,1.50
0.001,0.001,1,1.0,1.93,0.03,1.95,0.10,1.39
0.001,0.001,2,0.0,1.66,0.03,1.68,0.10,1.52
0.001,0.001,2,0.2,1.67,0.03,1.69,0.11,1.43
0.001,0.001,2,0.4,1.68,0.03,1.70,0.10,1.51
0.001,0.001,2,0.6,1.69,0.03,1.71,0.10,1.43
0.001,0.001,2,0.8,1.70,0.03,1.73,0.10,1.54
0.001,0.001,2,1.0,1.72,0.03,1.74,0.10,1.44
0.001,0.001,3,0.0,1.66,0.03,1.68,0.10,2.83
0.001,0.001,3,0.2,1.65,0.03,1.67,0.11,2.31
0.001,0.001,3,0.4,1.64,0.03,1.66,0.11,2.27
0.001,0.001,3,0.6,1.63,0.03,1.66,0.11,2.26
0.001,0.001,3,0.8,1.63,0.03,1.65,0.11,2.35
0.001,0.001,3,1.0,1.62,0.03,1.65,0.11,2.18
0.001,0.001,4,0.0,1.66,0.03,1.68,0.10,2.11
0.001,0.001,4,0.2,1.63,0.03,1.65,0.11,2.35
0.001,0.001,4,0.4,1.61,0.03,1.63,0.11,2.48
0.001,0.001,4,0.6,1.60,0.03,1.62,0.11,2.17
0.001,0.001,4,0.8,1.59,0.03,1.61,0.11,2.39
0.001,0.001,4,1.0,1.58,0.03,1.61,0.11,2.27
0.001,0.010,1,0.0,1.27,0.02,1.34,0.09,1.47
0.001,0.010,1,0.2,1.29,0.02,1.35,0.10,1.40
0.001,0.010,1,0.4,1.31,0.02,1.37,0.10,1.47
0.001,0.010,1,0.6,1.34,0.02,1.39,0.10,1.46
0.001,0.010,1,0.8,1.40,0.02,1.44,0.10,1.19
0.001,0.010,1,1.0,1.93,0.03,1.95,0.10,1.17
0.001,0.010,2,0.0,1.27,0.02,1.34,0.09,1.53
0.001,0.010,2,0.2,1.29,0.02,1.35,0.10,1.57
0.001,0.010,2,0.4,1.31,0.02,1.37,0.10,1.32
0.001,0.010,2,0.6,1.35,0.02,1.39,0.10,1.25
0.001,0.010,2,0.8,1.40,0.02,1.44,0.10,1.42
0.001,0.010,2,1.0,1.72,0.03,1.74,0.10,1.49
0.001,0.010,3,0.0,1.27,0.02,1.34,0.09,3.54
0.001,0.010,3,0.2,1.29,0.02,1.35,0.10,3.18
0.001,0.010,3,0.4,1.32,0.02,1.37,0.10,3.24
0.001,0.010,3,0.6,1.35,0.02,1.40,0.10,3.31
0.001,0.010,3,0.8,1.41,0.02,1.44,0.11,3.15
0.001,0.010,3,1.0,1.62,0.03,1.65,0.11,2.82
0.001,0.010,4,0.0,1.27,0.02,1.34,0.09,3.35
0.001,0.010,4,0.2,1.29,0.02,1.35,0.10,2.75
0.001,0.010,4,0.4,1.32,0.02,1.37,0.10,1.52
0.001,0.010,4,0.6,1.35,0.02,1.40,0.10,1.46
0.001,0.010,4,0.8,1.41,0.02,1.44,0.11,1.50
0.001,0.010,4,1.0,1.58,0.03,1.61,0.11,1.44
0.001,0.100,1,0.0,0.81,0.01,1.16,0.04,2.41
0.001,0.100,1,0.2,0.83,0.01,1.16,0.04,1.93
0.001,0.100,1,0.4,0.86,0.01,1.15,0.04,1.64
0.001,0.100,1,0.6,0.90,0.01,1.15,0.04,1.53
0.001,0.100,1,0.8,0.97,0.01,1.16,0.05,1.33
0.001,0.100,1,1.0,1.93,0.03,1.95,0.10,0.95
0.001,0.100,2,0.0,0.81,0.01,1.16,0.04,2.72
0.001,0.100,2,0.2,0.83,0.01,1.15,0.04,1.84
0.001,0.100,2,0.4,0.86,0.01,1.15,0.04,1.93
0.001,0.100,2,0.6,0.90,0.01,1.15,0.04,1.61
0.001,0.100,2,0.8,0.96,0.01,1.15,0.05,1.17
0.001,0.100,2,1.0,1.72,0.03,1.74,0.10,0.82
0.001,0.100,3,0.0,0.81,0.01,1.16,0.04,2.90
