g_p,g_r,d,rho,eps,C,mean_train,std_train,mean_test,std_test,time,sv_ratio
1.000,1.000,4,0.6,0.1,10.00,0.603,0.009,0.702,0.040,2.60,0.90
1.000,1.000,4,0.4,0.1,10.00,0.600,0.009,0.704,0.038,2.77,0.90
1.000,1.000,4,0.8,0.1,10.00,0.614,0.009,0.706,0.040,2.73,0.91
1.000,1.000,4,0.2,0.1,10.00,0.601,0.009,0.708,0.038,2.81,0.90
0.100,1.000,1,0.0,0.1,10.00,0.607,0.009,0.714,0.038,2.12,0.89
0.100,1.000,2,0.0,0.1,10.00,0.607,0.009,0.714,0.038,2.11,0.89
0.100,1.000,3,0.0,0.1,10.00,0.607,0.009,0.714,0.038,2.78,0.89
0.100,1.000,4,0.0,0.1,10.00,0.607,0.009,0.714,0.038,2.73,0.89
0.500,1.000,1,0.0,0.1,10.00,0.607,0.009,0.714,0.038,2.11,0.89
0.500,1.000,2,0.0,0.1,10.00,0.607,0.009,0.714,0.038,2.08,0.89
0.500,1.000,3,0.0,0.1,10.00,0.607,0.009,0.714,0.038,2.67,0.89
0.500,1.000,4,0.0,0.1,10.00,0.607,0.009,0.714,0.038,2.68,0.89
1.000,1.000,1,0.0,0.1,10.00,0.607,0.009,0.714,0.038,2.12,0.89
1.000,1.000,2,0.0,0.1,10.00,0.607,0.009,0.714,0.038,2.05,0.89
1.000,1.000,3,0.0,0.1,10.00,0.607,0.009,0.714,0.038,2.89,0.89
1.000,1.000,4,0.0,0.1,10.00,0.607,0.009,0.714,0.038,2.83,0.89
0.500,1.000,4,0.2,0.1,10.00,0.615,0.009,0.715,0.038,2.55,0.90
0.500,1.000,4,0.4,0.1,10.00,0.625,0.010,0.715,0.040,2.63,0.90
0.500,1.000,4,0.6,0.1,10.00,0.639,0.010,0.715,0.042,2.40,0.90
0.500,1.000,2,0.2,0.1,10.00,0.616,0.010,0.716,0.038,1.93,0.90
0.100,1.000,4,0.2,0.1,10.00,0.616,0.010,0.716,0.039,2.62,0.90
0.100,1.000,2,0.2,0.1,10.00,0.616,0.010,0.716,0.039,1.86,0.90
0.100,1.000,3,0.2,0.1,10.00,0.616,0.010,0.716,0.039,2.66,0.90
0.100,1.000,1,0.2,0.1,10.00,0.616,0.010,0.716,0.039,1.97,0.90
1.000,1.000,2,0.2,0.1,10.00,0.614,0.009,0.716,0.039,2.04,0.90
0.500,1.000,3,0.2,0.1,10.00,0.615,0.009,0.716,0.038,2.56,0.89
1.000,1.000,3,0.2,0.1,10.00,0.609,0.009,0.717,0.039,2.76,0.89
0.500,1.000,1,0.2,0.1,10.00,0.616,0.010,0.717,0.039,2.01,0.90
0.100,1.000,4,0.4,0.1,10.00,0.628,0.010,0.717,0.040,2.56,0.90
0.100,1.000,3,0.4,0.1,10.00,0.628,0.010,0.717,0.040,2.59,0.90
0.100,1.000,2,0.4,0.1,10.00,0.628,0.010,0.717,0.040,1.93,0.90
1.000,1.000,1,0.2,0.1,10.00,0.616,0.010,0.717,0.039,2.08,0.90
0.500,1.000,3,0.4,0.1,10.00,0.625,0.010,0.718,0.039,2.58,0.90
0.100,1.000,1,0.4,0.1,10.00,0.628,0.010,0.718,0.041,1.97,0.90
0.500,1.000,2,0.4,0.1,10.00,0.627,0.010,0.718,0.040,1.90,0.90
1.000,1.000,3,0.4,0.1,10.00,0.613,0.010,0.719,0.039,2.69,0.89
0.500,1.000,1,0.4,0.1,10.00,0.628,0.011,0.719,0.041,1.92,0.90
0.100,1.000,4,0.6,0.1,10.00,0.645,0.010,0.719,0.042,2.54,0.90
0.100,1.000,3,0.6,0.1,10.00,0.645,0.010,0.719,0.042,2.54,0.90
0.100,1.000,2,0.6,0.1,10.00,0.645,0.010,0.719,0.042,1.87,0.90
1.000,1.000,1,0.4,0.1,10.00,0.628,0.011,0.719,0.041,2.09,0.90
1.000,1.000,2,0.4,0.1,10.00,0.624,0.010,0.720,0.041,1.96,0.90
0.500,1.000,3,0.6,0.1,10.00,0.638,0.010,0.720,0.041,2.40,0.90
0.100,1.000,1,0.6,0.1,10.00,0.645,0.010,0.720,0.042,1.80,0.90
1.000,1.000,3,0.6,0.1,10.00,0.619,0.010,0.721,0.042,2.80,0.89
0.500,1.000,2,0.6,0.1,10.00,0.642,0.010,0.721,0.042,1.90,0.90
0.500,1.000,1,0.6,0.1,10.00,0.645,0.010,0.722,0.042,1.95,0.90
1.000,0.500,4,0.4,0.1,10.00,0.644,0.009,0.722,0.043,2.61,0.90
1.000,1.000,1,0.6,0.1,10.00,0.645,0.010,0.722,0.043,2.02,0.90
0.500,1.000,4,0.8,0.1,10.00,0.660,0.010,0.723,0.044,2.36,0.90
1.000,0.500,4,0.6,0.1,10.00,0.643,0.010,0.725,0.043,2.61,0.90
1.000,1.000,2,0.6,0.1,10.00,0.638,0.011,0.725,0.043,1.98,0.90
0.500,1.000,3,0.8,0.1,10.00,0.658,0.011,0.725,0.046,2.39,0.90
0.100,1.000,4,0.8,0.1,10.00,0.670,0.011,0.726,0.047,2.43,0.91
0.100,1.000,3,0.8,0.1,10.00,0.670,0.011,0.726,0.047,2.46,0.91
0.100,1.000,2,0.8,0.1,10.00,0.670,0.011,0.726,0.047,1.63,0.90
1.000,1.000,3,0.8,0.1,10.00,0.630,0.011,0.727,0.041,2.87,0.89
1.000,0.500,4,0.2,0.1,10.00,0.653,0.010,0.727,0.045,2.65,0.90
0.100,1.000,1,0.8,0.1,10.00,0.671,0.011,0.728,0.048,1.73,0.91
0.500,1.000,1,0.8,0.1,10.00,0.672,0.012,0.731,0.049,1.84,0.90
1.000,1.000,1,0.8,0.1,10.00,0.672,0.012,0.732,0.050,1.97,0.90
0.500,1.000,2,0.8,0.1,10.00,0.667,0.011,0.733,0.047,1.71,0.90
0.100,1.000,1,0.0,0.1,1.00,0.697,0.012,0.738,0.052,1.80,0.90
0.100,1.000,2,0.0,0.1,1.00,0.697,0.012,0.738,0.052,1.70,0.90
0.100,1.000,3,0.0,0.1,1.00,0.697,0.012,0.738,0.052,2.26,0.90
0.100,1.000,4,0.0,0.1,1.00,0.697,0.012,0.738,0.052,2.27,0.90
0.500,1.000,1,0.0,0.1,1.00,0.697,0.012,0.738,0.052,1.65,0.90
0.500,1.000,2,0.0,0.1,1.00,0.697,0.012,0.738,0.052,1.69,0.90
0.500,1.000,3,0.0,0.1,1.00,0.697,0.012,0.738,0.052,2.34,0.90
0.500,1.000,4,0.0,0.1,1.00,0.697,0.012,0.738,0.052,2.31,0.90
1.000,1.000,1,0.0,0.1,1.00,0.697,0.012,0.738,0.052,1.68,0.90
1.000,1.000,2,0.0,0.1,1.00,0.697,0.012,0.738,0.052,1.60,0.90
1.000,1.000,3,0.0,0.1,1.00,0.697,0.012,0.738,0.052,2.22,0.90
1.000,1.000,4,0.0,0.1,1.00,0.697,0.012,0.738,0.052,2.27,0.90
1.000,1.000,3,0.2,0.1,1.00,0.698,0.011,0.740,0.053,2.44,0.91
1.000,1.000,4,0.2,0.1,1.00,0.700,0.011,0.741,0.051,2.25,0.90
1.000,1.000,2,0.8,0.1,10.00,0.663,0.012,0.741,0.047,1.98,0.91
1.000,0.500,3,0.4,0.1,10.00,0.660,0.011,0.741,0.047,2.70,0.90
1.000,0.500,4,0.8,0.1,10.00,0.655,0.010,0.742,0.047,2.50,0.91
0.500,1.000,3,0.2,0.1,1.00,0.705,0.011,0.742,0.053,2.27,0.90
1.000,0.500,3,0.2,0.1,10.00,0.667,0.011,0.742,0.047,2.67,0.91
0.500,1.000,4,0.2,0.1,1.00,0.705,0.011,0.743,0.053,2.39,0.90
0.100,1.000,2,0.2,0.1,1.00,0.706,0.011,0.743,0.054,1.74,0.90
0.100,1.000,3,0.2,0.1,1.00,0.706,0.011,0.743,0.054,2.27,0.90
0.100,1.000,4,0.2,0.1,1.00,0.706,0.011,0.743,0.054,2.21,0.90
0.100,1.000,1,0.2,0.1,1.00,0.706,0.011,0.743,0.054,1.71,0.90
1.000,1.000,3,0.4,0.1,1.00,0.703,0.012,0.743,0.055,2.30,0.91
0.500,1.000,2,0.2,0.1,1.00,0.705,0.011,0.743,0.053,1.71,0.90
1.000,0.500,3,0.6,0.1,10.00,0.658,0.011,0.744,0.047,2.64,0.90
0.500,1.000,1,0.2,0.1,1.00,0.706,0.011,0.744,0.054,1.67,0.90
1.000,1.000,2,0.2,0.1,1.00,0.704,0.011,0.744,0.052,1.64,0.90
1.000,1.000,1,0.2,0.1,1.00,0.706,0.011,0.744,0.055,1.69,0.90
0.500,0.500,4,0.4,0.1,10.00,0.691,0.012,0.745,0.051,2.49,0.91
0.500,0.500,4,0.2,0.1,10.00,0.686,0.012,0.746,0.051,2.51,0.91
1.000,1.000,4,0.4,0.1,1.00,0.707,0.011,0.747,0.050,2.43,0.91
0.500,0.500,4,0.6,0.1,10.00,0.700,0.012,0.748,0.052,2.45,0.91
1.000,0.500,3,0.8,0.1,10.00,0.664,0.012,0.748,0.051,2.62,0.90
0.500,1.000,3,0.4,0.1,1.00,0.715,0.011,0.748,0.055,2.23,0.91
0.100,0.500,1,0.0,0.1,10.00,0.685,0.012,0.749,0.050,1.97,0.91
0.100,0.500,2,0.0,0.1,10.00,0.685,0.012,0.749,0.050,1.91,0.91
0.100,0.500,3,0.0,0.1,10.00,0.685,0.012,0.749,0.050,2.56,0.91
0.100,0.500,4,0.0,0.1,10.00,0.685,0.012,0.749,0.050,2.54,0.91
0.500,0.500,1,0.0,0.1,10.00,0.685,0.012,0.749,0.050,1.85,0.91
0.500,0.500,2,0.0,0.1,10.00,0.685,0.012,0.749,0.050,1.78,0.91
0.500,0.500,3,0.0,0.1,10.00,0.685,0.012,0.749,0.050,2.48,0.91
0.500,0.500,4,0.0,0.1,10.00,0.685,0.012,0.749,0.050,2.55,0.91
1.000,0.500,1,0.0,0.1,10.00,0.685,0.012,0.749,0.050,1.87,0.91
1.000,0.500,2,0.0,0.1,10.00,0.685,0.012,0.749,0.050,1.88,0.91
1.000,0.500,3,0.0,0.1,10.00,0.685,0.012,0.749,0.050,2.47,0.91
1.000,0.500,4,0.0,0.1,10.00,0.685,0.012,0.749,0.050,2.72,0.91
0.500,1.000,4,0.4,0.1,1.00,0.717,0.011,0.750,0.054,2.26,0.91
0.500,0.500,3,0.2,0.1,10.00,0.687,0.012,0.750,0.051,2.45,0.91
0.500,0.500,3,0.4,0.1,10.00,0.691,0.011,0.750,0.051,2.43,0.91
0.100,1.000,3,0.4,0.1,1.00,0.718,0.011,0.750,0.054,2.21,0.90
0.500,1.000,2,0.4,0.1,1.00,0.717,0.011,0.750,0.054,1.59,0.90
0.100,1.000,4,0.4,0.1,1.00,0.718,0.011,0.750,0.054,2.31,0.90
0.100,1.000,2,0.4,0.1,1.00,0.718,0.011,0.750,0.054,1.70,0.90
0.100,1.000,1,0.4,0.1,1.00,0.718,0.011,0.750,0.055,1.72,0.90
0.500,0.500,3,0.6,0.1,10.00,0.697,0.011,0.751,0.051,2.45,0.91
1.000,1.000,2,0.4,0.1,1.00,0.715,0.011,0.751,0.052,1.72,0.91
0.100,0.500,3,0.2,0.1,10.00,0.692,0.012,0.751,0.051,2.62,0.92
0.100,0.500,4,0.2,0.1,10.00,0.692,0.012,0.751,0.051,2.55,0.92
0.100,0.500,2,0.2,0.1,10.00,0.692,0.012,0.752,0.051,1.80,0.92
0.100,0.500,1,0.2,0.1,10.00,0.692,0.012,0.752,0.051,1.92,0.92
1.000,0.500,1,0.2,0.1,10.00,0.692,0.012,0.752,0.051,1.82,0.92
0.500,0.500,1,0.2,0.1,10.00,0.692,0.012,0.752,0.051,1.90,0.92
0.500,1.000,1,0.4,0.1,1.00,0.719,0.012,0.752,0.056,1.73,0.90
0.500,0.500,2,0.2,0.1,10.00,0.690,0.012,0.753,0.051,1.85,0.92
1.000,1.000,1,0.4,0.1,1.00,0.720,0.012,0.753,0.056,1.69,0.90
0.100,0.500,3,0.4,0.1,10.00,0.702,0.012,0.753,0.052,2.47,0.91
0.100,0.500,4,0.4,0.1,10.00,0.702,0.012,0.753,0.052,2.54,0.91
1.000,1.000,3,0.6,0.1,1.00,0.713,0.011,0.753,0.057,2.27,0.90
0.100,0.500,2,0.4,0.1,10.00,0.702,0.012,0.753,0.052,1.84,0.91
0.100,0.500,1,0.4,0.1,10.00,0.702,0.012,0.753,0.052,1.80,0.91
1.000,0.500,2,0.2,0.1,10.00,0.688,0.012,0.754,0.051,1.90,0.92
0.500,0.500,1,0.4,0.1,10.00,0.702,0.012,0.754,0.053,1.80,0.91
