g_p,g_r,d,rho,eps,C,mean_train,std_train,mean_test,std_test,time,sv_ratio
0.010,0.100,1,0.4,0.1,10.00,0.548,0.007,0.690,0.032,1.99,0.91
0.010,0.100,1,0.2,0.1,10.00,0.533,0.007,0.690,0.030,2.05,0.90
0.010,0.100,3,0.4,0.1,10.00,0.550,0.007,0.690,0.031,2.99,0.91
0.010,0.100,2,0.4,0.1,10.00,0.550,0.007,0.690,0.031,1.98,0.91
0.100,0.100,1,0.2,0.1,10.00,0.531,0.007,0.690,0.030,3.43,0.90
0.010,0.100,3,0.2,0.1,10.00,0.534,0.007,0.691,0.029,3.14,0.90
0.010,0.100,2,0.2,0.1,10.00,0.534,0.007,0.691,0.029,2.25,0.90
0.010,0.100,1,0.6,0.1,10.00,0.568,0.008,0.691,0.033,1.74,0.91
0.100,0.100,1,0.4,0.1,10.00,0.546,0.007,0.691,0.033,3.34,0.91
0.010,0.100,3,0.6,0.1,10.00,0.570,0.007,0.692,0.030,2.80,0.91
0.010,0.100,2,0.6,0.1,10.00,0.570,0.008,0.692,0.030,1.77,0.91
0.100,0.100,1,0.6,0.1,10.00,0.566,0.008,0.693,0.034,3.02,0.91
0.100,0.100,2,0.2,0.1,10.00,0.532,0.007,0.695,0.030,3.62,0.90
0.100,0.100,2,0.4,0.1,10.00,0.546,0.007,0.696,0.034,3.47,0.91
0.100,0.100,1,0.8,0.1,10.00,0.599,0.009,0.696,0.038,3.37,0.90
0.010,0.100,1,0.8,0.1,10.00,0.599,0.008,0.696,0.037,1.67,0.91
0.100,0.100,3,0.8,0.1,10.00,0.553,0.010,0.697,0.039,5.88,0.90
0.100,0.100,3,0.2,0.1,10.00,0.521,0.008,0.697,0.029,4.91,0.90
0.100,0.100,1,0.8,0.1,100.00,0.479,0.008,0.698,0.027,11.40,0.91
0.010,0.100,3,0.8,0.1,10.00,0.603,0.009,0.698,0.034,2.64,0.90
0.100,0.100,3,0.4,0.1,10.00,0.526,0.009,0.699,0.030,5.29,0.90
0.010,0.100,1,0.8,0.1,100.00,0.480,0.008,0.699,0.027,5.60,0.91
0.010,0.100,2,0.8,0.1,10.00,0.603,0.009,0.699,0.034,1.54,0.90
0.100,0.100,3,0.6,0.1,10.00,0.536,0.009,0.699,0.033,5.78,0.90
0.100,0.100,2,0.6,0.1,10.00,0.566,0.008,0.699,0.037,3.87,0.91
0.010,0.100,3,0.8,0.1,100.00,0.481,0.008,0.702,0.025,6.02,0.90
0.010,0.100,2,0.8,0.1,100.00,0.481,0.008,0.703,0.024,4.82,0.91
0.100,0.100,1,0.2,0.1,1.00,0.641,0.009,0.705,0.042,1.57,0.91
0.100,0.100,3,0.2,0.1,1.00,0.630,0.009,0.706,0.039,2.43,0.90
0.010,0.100,1,0.2,0.1,1.00,0.645,0.008,0.707,0.038,1.98,0.90
0.010,0.100,3,0.2,0.1,1.00,0.646,0.008,0.708,0.037,2.32,0.90
0.010,0.100,2,0.2,0.1,1.00,0.646,0.008,0.708,0.037,1.89,0.90
0.100,0.100,2,0.8,0.1,100.00,0.478,0.008,0.709,0.022,17.34,0.90
0.100,0.100,1,0.4,0.1,1.00,0.654,0.010,0.710,0.045,1.65,0.90
0.100,0.100,2,0.8,0.1,10.00,0.598,0.009,0.710,0.038,3.74,0.90
0.010,0.100,1,0.4,0.1,1.00,0.656,0.009,0.711,0.039,1.97,0.91
0.100,0.100,1,0.6,0.1,100.00,0.438,0.007,0.711,0.028,13.06,0.91
0.100,0.100,3,0.4,0.1,1.00,0.633,0.010,0.711,0.040,2.45,0.90
0.010,0.100,1,0.6,0.1,100.00,0.438,0.007,0.711,0.026,8.19,0.91
0.100,0.100,2,0.2,0.1,1.00,0.643,0.009,0.712,0.039,1.51,0.90
0.010,0.100,3,0.4,0.1,1.00,0.659,0.009,0.712,0.036,2.48,0.90
0.010,0.100,2,0.4,0.1,1.00,0.659,0.009,0.712,0.036,1.82,0.90
0.010,0.100,3,0.6,0.1,100.00,0.439,0.007,0.714,0.025,9.06,0.91
0.010,0.100,2,0.6,0.1,100.00,0.439,0.007,0.714,0.024,7.29,0.91
0.100,0.100,1,0.4,0.1,100.00,0.412,0.007,0.717,0.028,14.13,0.91
0.100,0.100,2,0.6,0.1,100.00,0.436,0.007,0.718,0.023,17.62,0.90
0.010,0.100,1,0.4,0.1,100.00,0.413,0.007,0.718,0.025,10.29,0.91
0.010,0.100,1,0.6,0.1,1.00,0.675,0.009,0.719,0.042,1.89,0.90
