g_p,g_r,d,rho,eps,C,mean_train,std_train,mean_test,std_test,time,sv_ratio
0.100,0.100,4,0.2,0.1,10.00,0.632,0.009,0.864,0.036,5.71,0.92
0.100,0.100,4,0.4,0.1,10.00,0.628,0.010,0.864,0.037,6.66,0.92
0.100,0.100,4,0.3,0.1,10.00,0.629,0.009,0.864,0.037,5.92,0.92
0.100,0.100,4,0.5,0.1,10.00,0.629,0.010,0.865,0.038,6.19,0.92
0.100,0.100,4,0.1,0.1,10.00,0.638,0.009,0.866,0.034,5.58,0.92
0.100,0.100,1,0.6,0.1,10.00,0.712,0.008,0.867,0.039,2.88,0.92
0.100,0.100,5,0.1,0.1,10.00,0.622,0.008,0.867,0.040,5.39,0.92
0.100,0.100,1,0.7,0.1,10.00,0.730,0.009,0.867,0.039,3.11,0.92
0.100,0.100,1,0.5,0.1,10.00,0.698,0.008,0.867,0.040,3.09,0.92
0.010,0.100,1,0.7,0.1,10.00,0.730,0.009,0.869,0.039,2.81,0.93
0.010,0.100,1,0.6,0.1,10.00,0.713,0.009,0.869,0.041,3.09,0.92
0.100,0.100,1,0.1,0.1,10.00,0.660,0.007,0.869,0.038,3.19,0.92
0.100,0.100,1,0.4,0.1,10.00,0.686,0.008,0.869,0.039,3.12,0.92
0.100,0.100,4,0.6,0.1,10.00,0.631,0.010,0.869,0.039,6.58,0.92
0.010,0.100,1,0.9,0.1,100.00,0.651,0.008,0.869,0.037,3.12,0.92
0.100,0.100,1,0.3,0.1,10.00,0.676,0.008,0.870,0.038,2.74,0.92
0.100,0.100,1,0.9,0.1,100.00,0.651,0.008,0.870,0.037,9.17,0.92
0.100,0.100,1,0.2,0.1,10.00,0.667,0.007,0.870,0.038,2.83,0.92
0.010,0.100,1,0.5,0.1,10.00,0.700,0.008,0.870,0.042,3.09,0.92
0.010,0.100,1,0.2,0.1,10.00,0.671,0.007,0.870,0.040,3.39,0.92
0.010,0.100,1,0.3,0.1,10.00,0.679,0.008,0.870,0.040,3.49,0.92
0.010,0.100,1,0.4,0.1,10.00,0.689,0.008,0.870,0.041,3.20,0.92
0.010,0.100,2,0.9,0.1,100.00,0.652,0.008,0.871,0.036,3.07,0.92
0.100,0.100,1,0.8,0.1,10.00,0.753,0.009,0.871,0.038,3.27,0.93
0.010,0.100,1,0.8,0.1,10.00,0.753,0.009,0.871,0.037,2.87,0.92
0.010,0.100,1,0.1,0.1,10.00,0.663,0.007,0.872,0.038,3.51,0.92
0.100,0.100,5,0.2,0.1,10.00,0.608,0.009,0.872,0.038,5.48,0.91
0.010,0.100,2,0.3,0.1,10.00,0.682,0.008,0.872,0.040,3.16,0.92
0.100,0.100,2,0.1,0.1,10.00,0.660,0.008,0.872,0.037,3.26,0.92
0.010,0.100,2,0.2,0.1,10.00,0.672,0.008,0.872,0.039,3.31,0.92
0.010,0.100,3,0.3,0.1,10.00,0.682,0.008,0.872,0.040,4.33,0.92
0.010,0.100,4,0.3,0.1,10.00,0.682,0.008,0.872,0.040,4.67,0.92
0.010,0.100,5,0.3,0.1,10.00,0.682,0.008,0.872,0.040,4.55,0.92
0.010,0.100,3,0.2,0.1,10.00,0.672,0.007,0.872,0.039,4.31,0.92
0.010,0.100,5,0.2,0.1,10.00,0.672,0.008,0.872,0.039,4.74,0.92
0.010,0.100,4,0.2,0.1,10.00,0.672,0.008,0.872,0.039,4.55,0.92
0.010,0.100,2,0.1,0.1,10.00,0.664,0.008,0.873,0.038,3.34,0.92
0.010,0.100,3,0.1,0.1,10.00,0.664,0.008,0.873,0.038,4.49,0.92
0.010,0.100,5,0.1,0.1,10.00,0.664,0.008,0.873,0.038,4.85,0.92
0.010,0.100,4,0.1,0.1,10.00,0.664,0.008,0.873,0.038,4.69,0.92
0.010,0.100,3,0.9,0.1,100.00,0.655,0.008,0.873,0.037,3.70,0.92
0.010,0.100,1,0.8,0.1,100.00,0.602,0.010,0.873,0.035,3.80,0.92
0.010,0.100,4,0.9,0.1,100.00,0.656,0.008,0.873,0.037,3.71,0.92
0.100,0.100,4,0.7,0.1,10.00,0.635,0.010,0.873,0.041,6.51,0.92
0.010,0.100,2,0.4,0.1,10.00,0.693,0.008,0.873,0.041,2.85,0.92
0.100,0.100,1,0.8,0.1,100.00,0.601,0.010,0.873,0.036,9.86,0.92
0.010,0.100,2,0.8,0.1,100.00,0.602,0.010,0.873,0.033,3.77,0.92
0.010,0.100,3,0.4,0.1,10.00,0.693,0.008,0.873,0.041,4.46,0.92
0.010,0.100,5,0.9,0.1,100.00,0.656,0.008,0.873,0.037,3.76,0.91
0.010,0.100,4,0.4,0.1,10.00,0.694,0.008,0.873,0.041,4.36,0.92
0.010,0.100,5,0.4,0.1,10.00,0.694,0.008,0.873,0.041,4.43,0.92
0.010,0.100,1,0.9,0.1,10.00,0.789,0.008,0.875,0.039,2.67,0.92
0.100,0.100,5,0.3,0.1,10.00,0.600,0.009,0.875,0.035,6.13,0.92
0.100,0.100,2,0.2,0.1,10.00,0.666,0.008,0.875,0.039,3.35,0.93
0.010,0.100,2,0.5,0.1,10.00,0.707,0.008,0.876,0.041,2.81,0.92
0.010,0.100,3,0.5,0.1,10.00,0.707,0.008,0.876,0.041,4.22,0.92
0.100,0.100,3,0.1,0.1,10.00,0.654,0.008,0.876,0.040,4.72,0.92
0.010,0.100,4,0.5,0.1,10.00,0.707,0.008,0.876,0.041,4.37,0.92
0.010,0.100,5,0.5,0.1,10.00,0.707,0.008,0.876,0.041,4.29,0.92
0.010,0.100,1,0.7,0.1,100.00,0.571,0.011,0.876,0.038,4.54,0.92
0.010,0.100,2,0.7,0.1,100.00,0.571,0.011,0.876,0.035,4.89,0.92
0.100,0.100,1,0.2,0.1,1.00,0.803,0.008,0.876,0.036,2.76,0.92
0.010,0.100,4,0.8,0.1,100.00,0.604,0.010,0.877,0.034,4.45,0.92
0.010,0.100,3,0.8,0.1,100.00,0.603,0.010,0.877,0.035,4.52,0.92
0.100,0.100,2,0.8,0.1,100.00,0.597,0.010,0.877,0.030,17.53,0.92
0.100,0.100,1,0.7,0.1,100.00,0.570,0.011,0.877,0.039,10.92,0.93
0.010,0.100,5,0.8,0.1,100.00,0.604,0.010,0.877,0.034,4.77,0.92
0.100,0.100,1,0.3,0.1,1.00,0.808,0.008,0.877,0.036,2.86,0.91
0.100,0.100,2,0.7,0.1,100.00,0.565,0.011,0.878,0.031,17.93,0.92
0.100,0.100,1,0.9,0.1,10.00,0.791,0.009,0.879,0.039,3.27,0.92
0.010,0.100,3,0.7,0.1,100.00,0.572,0.011,0.879,0.036,5.39,0.92
0.010,0.100,4,0.7,0.1,100.00,0.573,0.011,0.879,0.036,5.40,0.92
0.100,0.100,2,0.3,0.1,10.00,0.674,0.008,0.879,0.041,3.66,0.93
0.010,0.100,5,0.7,0.1,100.00,0.573,0.011,0.879,0.036,6.21,0.92
0.010,0.100,2,0.6,0.1,10.00,0.722,0.009,0.879,0.041,2.72,0.92
0.100,0.100,5,0.4,0.1,10.00,0.595,0.009,0.879,0.032,6.52,0.92
0.010,0.100,3,0.6,0.1,10.00,0.722,0.008,0.879,0.041,4.19,0.92
0.100,0.100,1,0.4,0.1,1.00,0.816,0.009,0.879,0.039,2.70,0.91
0.010,0.100,4,0.6,0.1,10.00,0.723,0.008,0.880,0.041,4.23,0.92
0.010,0.100,5,0.6,0.1,10.00,0.723,0.008,0.880,0.041,4.30,0.92
0.100,0.100,4,0.8,0.1,10.00,0.645,0.011,0.880,0.042,6.73,0.92
0.010,0.100,1,0.6,0.1,100.00,0.547,0.012,0.880,0.040,5.19,0.91
0.100,0.100,3,0.2,0.1,10.00,0.656,0.008,0.881,0.041,5.22,0.92
0.100,0.100,2,0.4,0.1,10.00,0.684,0.009,0.881,0.042,3.70,0.92
0.010,0.100,2,0.6,0.1,100.00,0.548,0.012,0.881,0.037,5.56,0.91
0.100,0.100,2,0.6,0.1,100.00,0.542,0.011,0.881,0.035,16.74,0.91
0.100,0.100,1,0.6,0.1,100.00,0.547,0.012,0.881,0.041,10.80,0.92
0.100,0.100,1,0.1,0.1,1.00,0.802,0.008,0.882,0.035,2.80,0.92
0.010,0.100,2,0.7,0.1,10.00,0.741,0.008,0.882,0.042,2.62,0.93
0.100,0.100,5,0.5,0.1,10.00,0.592,0.009,0.882,0.031,6.61,0.92
0.010,0.100,3,0.6,0.1,100.00,0.549,0.012,0.883,0.038,6.05,0.92
0.010,0.100,3,0.7,0.1,10.00,0.742,0.008,0.883,0.041,4.26,0.93
0.010,0.100,4,0.6,0.1,100.00,0.549,0.012,0.883,0.038,5.95,0.92
0.010,0.100,5,0.6,0.1,100.00,0.549,0.012,0.883,0.038,6.98,0.92
0.100,0.100,3,0.3,0.1,10.00,0.660,0.008,0.883,0.042,5.15,0.92
0.010,0.100,4,0.7,0.1,10.00,0.743,0.008,0.883,0.041,4.15,0.93
0.010,0.100,5,0.7,0.1,10.00,0.743,0.008,0.883,0.041,3.58,0.93
0.100,0.100,3,0.4,0.1,10.00,0.665,0.008,0.884,0.041,5.50,0.92
0.100,0.100,2,0.5,0.1,10.00,0.695,0.009,0.884,0.044,3.30,0.92
0.100,0.100,3,0.5,0.1,10.00,0.672,0.008,0.884,0.041,5.86,0.92
0.100,0.100,3,0.6,0.1,10.00,0.680,0.008,0.885,0.041,5.99,0.93
0.010,0.100,1,0.5,0.1,100.00,0.529,0.012,0.885,0.040,5.51,0.92
0.100,0.100,2,0.9,0.1,100.00,0.647,0.009,0.885,0.036,16.31,0.93
0.100,0.100,3,0.7,0.1,10.00,0.690,0.009,0.886,0.041,6.69,0.92
0.100,0.100,1,0.5,0.1,100.00,0.528,0.012,0.886,0.042,10.44,0.92
0.100,0.100,5,0.6,0.1,10.00,0.592,0.008,0.886,0.031,6.58,0.92
0.010,0.100,2,0.5,0.1,100.00,0.529,0.012,0.886,0.038,6.16,0.92
0.100,0.100,1,0.5,0.1,1.00,0.827,0.008,0.887,0.042,2.76,0.91
0.010,0.100,3,0.5,0.1,100.00,0.530,0.012,0.887,0.038,7.09,0.92
0.010,0.100,4,0.5,0.1,100.00,0.530,0.012,0.887,0.038,6.89,0.92
0.010,0.100,5,0.5,0.1,100.00,0.530,0.012,0.887,0.038,7.80,0.92
0.100,0.100,2,0.5,0.1,100.00,0.524,0.011,0.887,0.037,17.20,0.92
0.010,0.100,3,0.8,0.1,10.00,0.769,0.009,0.887,0.039,3.90,0.92
0.100,0.100,3,0.8,0.1,10.00,0.704,0.008,0.888,0.041,6.86,0.92
0.100,0.100,2,0.6,0.1,10.00,0.710,0.008,0.888,0.044,3.50,0.92
0.010,0.100,4,0.8,0.1,10.00,0.771,0.009,0.888,0.039,3.84,0.92
